_question,_qv_content,_qv_vote,_qv_comment,total_answer_count,accepted_answer,at_vote,at_comment,suggestedanswers,sv_vote,sv_comment
Why scrapy crawler stops?,"I have written a crawler using scrapy framework to parse a products site. The crawler stops in between suddenly without completing the full parsing process. I have researched a lot on this and most of the answers indicate that my crawler is being blocked by the website. Is there any mechanism by which I can detect whether my spider is being stopped by website or does it stop on its own? The below is info level log entry of spider . 2013-09-23 09:59:07+0000 [scrapy] INFO: Scrapy 0.18.0 started (bot: crawler) 2013-09-23 09:59:08+0000 [spider] INFO: Spider opened 2013-09-23 09:59:08+0000 [spider] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min) 2013-09-23 10:00:08+0000 [spider] INFO: Crawled 10 pages (at 10 pages/min), scraped 7 items (at 7 items/min) 2013-09-23 10:01:08+0000 [spider] INFO: Crawled 22 pages (at 12 pages/min), scraped 19 items (at 12 items/min) 2013-09-23 10:02:08+0000 [spider] INFO: Crawled 31 pages (at 9 pages/min), scraped 28 items (at 9 items/min) 2013-09-23 10:03:08+0000 [spider] INFO: Crawled 40 pages (at 9 pages/min), scraped 37 items (at 9 items/min) 2013-09-23 10:04:08+0000 [spider] INFO: Crawled 49 pages (at 9 pages/min), scraped 46 items (at 9 items/min) 2013-09-23 10:05:08+0000 [spider] INFO: Crawled 59 pages (at 10 pages/min), scraped 56 items (at 10 items/min) Below is last part of debug level entry in log file before spider is closed: 2013-09-25 11:33:24+0000 [spider] DEBUG: Crawled (200) <GET http://url.html> (referer: http://site_name) 2013-09-25 11:33:24+0000 [spider] DEBUG: Scraped from <200 http://url.html> //scrapped data in json form 2013-09-25 11:33:25+0000 [spider] INFO: Closing spider (finished) 2013-09-25 11:33:25+0000 [spider] INFO: Dumping Scrapy stats: {'downloader/request_bytes': 36754, 'downloader/request_count': 103, 'downloader/request_method_count/GET': 103, 'downloader/response_bytes': 390792, 'downloader/response_count': 103, 'downloader/response_status_count/200': 102, 'downloader/response_status_count/302': 1, 'finish_reason': 'finished', 'finish_time': datetime.datetime(2013, 9, 25, 11, 33, 25, 1359), 'item_scraped_count': 99, 'log_count/DEBUG': 310, 'log_count/INFO': 14, 'request_depth_max': 1, 'response_received_count': 102, 'scheduler/dequeued': 100, 'scheduler/dequeued/disk': 100, 'scheduler/enqueued': 100, 'scheduler/enqueued/disk': 100, 'start_time': datetime.datetime(2013, 9, 25, 11, 23, 3, 869392)} 2013-09-25 11:33:25+0000 [spider] INFO: Spider closed (finished) Still there are pages remaining to be parsed, but the spider stops.",2,The crawler parses few product detail pages and stops in between without parsing all the product details pages.,1 Answer 1,,,,"So far I know that for a spider: There are some queue or pool of urls to be scraped/parsed with parsing methods. You can specify, bind the url to a specific method or let the default 'parse' do the job. From parsing methods you must return/yield another request(s), to feed that pool, or item(s) When the pool runs out of urls or a stop signal is sent the spider stops crawling. Would be nice if you share your spider code so we can check if those binds are correct. It's easy to miss some bindings by mistake using SgmlLinkExtractor for example.",0,I am trying this example mherman.org/blog/2012/11/08/… – Grahesh Parkar Sep 27 '13 at 5:19
my scrapy crawler doesnt return results from amazon.com,"Folks I have been coding Scrapy based web crawlers for a couple of weeks. They seem to be working as expected. I have become a scrapy fan. But in the last couple of days my latest scrapy crawler refuses to crawl the Amazon site. I dont get any results back. Neither do I get any error codes. I have even tried the scrapy shell. It just doesnt return any results. I suspect the problem is in the xpath or the css expression, but I'm not able to figure it out. Any help will be gladly appreciated. Here's what my spider looks like My code prints the xxxxx and nothing after import scrapy from scrapy.spiders import CrawlSpider, Rule from scrapy.linkextractors import LinkExtractor from amazon.items import LowesItem from amazon.items import SwatchcolorItem class SattySpider(scrapy.Spider): name = ""faucets"" allowed_domains = [""amazon.com""] start_urls = [ ""https://www.amazon.com/s?ie=UTF8&page=1&rh=n%3A228013%2Ck%3Abathroom%20faucets"" ] rules = ( Rule(LinkExtractor(allow='amazon\.com/[A-Z][a-zA-Z_/]+$'), 'parse_category', follow=True, ), ) def parse(self, response): print 'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx' ##### # I even tried xpath #for sel in response.xpath('.//li[@class=""s-result-item celwidget s-hidden-sponsored-item""]'): # prodDesc= sel.xpath('.//div[@class=""s-item-container""]//div[@class=""a-row a-spacing-none""]//a[@title]').extract() ##### for sel in response.css(""li.s-result-item.celwidget.s-hidden-sponsored-item > div.s-item-container > div > div > a::attr('href')""): #for sel in response.xpath('.//li[@class=""s-result-item celwidget s-hidden-sponsored-item""]'): prodDesc= sel.xpath('.//div[@class=""s-item-container""]//div[@class=""a-row a-spacing-none""]//a[@title]').extract() print prodDesc produrls = sel.xpath('.//@data-producturl').extract() urls = sel.xpath('.//@data-productimg').extract() #prod_url_det = response.urljoin(produrl.extract()) lowi= LowesItem() lowi['swatcharray'] = {} for idx,swatch in enumerate(sel.xpath('.//div[@class=""product-container js-product-container""]//a//div[@class=""pvs pvs-options-height v-spacing-small""]//ul/li')): swatchcolor = swatch.xpath('.//img//@alt').extract() lowi['swatcharray'][idx] =swatchcolor #yield lowi #url_prod_det = response.urljoin(produrl) for idx1,url in enumerate(urls): url_prod_det = response.urljoin(produrls[idx1]) yield scrapy.Request(url_prod_det, meta={'lowes': LowesItem(prod=prod[idx1], swatcharray=lowi['swatcharray'], file_urls=['http:' + url])}, callback=self.parse_productdetail) for next in response.css(""div.grid-parent.v-spacing-extra-large > nav > ul > li.page-next > a::attr('href')""): url_next = response.urljoin(next.extract()) print "" url_next : "" + url_next yield scrapy.Request(url_next, callback=self.parse) def parse_productdetail(self, response): print 'Testing....' # for model in response.xpath('//div[@class=""pd-numbers grid-50 tablet-grid-100""]//p[@class=""secondary-text small-type""]').re('<strong> Model # </strong>'): for model in response.xpath('//div[@class=""pd-numbers grid-50 tablet-grid-100""]//p[@class=""secondary-text small-type""]'): #print model.extract() modelname = model.xpath('./text()').extract() #print modelname #yield lowesItem lowesItem = response.meta['lowes'] lowesItem['model']=modelname[1] lowesItem['category']='default' lowesItem['subcategory']='default' lowesItem['vendor']='Lowes' for namevals in response.xpath('//div[@id=""collapseSpecs""]//div[@class=""panel-body""]//div[@class=""grid-100 grid-parent""]//div[@class=""grid-50""]//table[@class=""table full-width no-borders""]//tbody//tr'): #print namevals name = namevals.xpath('.//th/text()').extract() val = namevals.xpath('.//td//span/text()').extract() if 'Faucet Type' in name: lowesItem['faucettype']=val[0] elif 'Number of Faucet Handles' in name: lowesItem['numofhandles']=val[0] elif 'ADA Compliant' in name: lowesItem['ada']=val[0] elif 'Built-In Water Filter' in name: lowesItem['builtinwaterfilter']=val[0] elif 'Mounting Location' in name: lowesItem['mountingloc']=val[0] elif 'Color/Finish Family' in name: lowesItem['color']=val[0] elif 'Manufacturer Color/Finish' in name: lowesItem['manufacturercolor']=val[0] elif 'Collection Name' in name: lowesItem['collection']=val[0] elif 'Soap or Lotion Dispenser' in name: lowesItem['soapdispenser']=val[0] elif 'Spout Height (Inches)' in name: lowesItem['spoutheight']=val[0] elif 'Max Flow Rate' in name: lowesItem['maxflowrate']=val[0] yield lowesItem",1,"dont scrape amazon, use the API",0,,,,,,
My Scrapy Crawler don't find nested a href tags,"I have written a Scrapy crawler as follow: import sys, getopt import scrapy from scrapy.spiders import Spider from scrapy.http import Request import re class TutsplusItem(scrapy.Item): title = scrapy.Field() class MySpider(Spider): name = ""tutsplus"" allowed_domains = [""bbc.com""] start_urls = [""http://www.bbc.com/""] crawling_level=None def __init__(self,crawling_level, *args): MySpider.crawling_level=crawling_level super(MySpider, self).__init__(self) def parse(self, response): links = response.xpath('//a/@href').extract() print(""Links are %s"" %links) print (""Crawling level is %s "" %MySpider.crawling_level ) # We stored already crawled links in this list level=MySpider.crawling_level crawledLinks = [] # Pattern to check proper link # I only want to get the tutorial posts # linkPattern = re.compile(""^\/tutorials\?page=\d+"") for link in links: # If it is a proper link and is not checked yet, yield it to the Spider #if linkPattern.match(link) and not link in crawledLinks: if not link in crawledLinks and level>0: link = ""http://www.bbc.com"" + link crawledLinks.append(link) yield Request(link, self.parse) titles = response.xpath('//a[contains(@class, ""media__link"")]/@*').extract() #titles = response.xpath('//a/@href').extract() print (""Titles are %s"" %titles ) count=0 for title in titles: item = TutsplusItem() item[""title""] = title print(""Title is : %s"" %title) yield item However, there is a problem in my codes and for the line titles = response.xpath('//a[contains(@class, ""media__link"")]').extract() it does not return any link. The HTML is as follow: <h3 class=""media__title""> <a class=""media__link"" href=""/news/world-us-canada-38965557"" rev=""hero1|headline"" > Trump adviser quits over Russia contacts</a> </h3> My output titles are always null. Is there anything wrong with my XPATH?",0,,1 Answer 1,,,,"The xpath in not correct ! use chrome dev tools for xpath debugging: ""//a[@class='media__link']/@href"" titles = response.xpath('//a[@class='media__link']/@href').extract()",0,
Scrapy crawler in Cron job,"I want to execute my scrapy crawler from cron job . i create bash file getdata.sh where scrapy project is located with it's spiders #!/bin/bash cd /myfolder/crawlers/ scrapy crawl my_spider_name My crontab looks like this , I want to execute it in every 5 minute */5 * * * * sh /myfolder/crawlers/getdata.sh but it don't works , whats wrong , where is my error ? when I execute my bash file from terminal sh /myfolder/crawlers/getdata.sh it works fine",19,"is the sh ""prefix"" in */5 * * * * sh /myfolder/crawlers/getdata.sh necessary to execute shell scripts from crontab???",7 Answers 7,I solved this problem including PATH into bash file #!/bin/bash cd /myfolder/crawlers/ PATH=$PATH:/usr/local/bin export PATH scrapy crawl my_spider_name,25,+1 Had the same problem and simply couldn't figure it out. You should mark your question as the accepted answer. :) – Xethron Sep 21 '13 at 9:47,"Adding the following lines in crontab -e runs my scrapy crawl at 5AM every day. This is a slightly modified version of crocs' answer PATH=/usr/bin * 5 * * * cd project_folder/project_name/ && scrapy crawl spider_name Without setting $PATH, cron would give me an error ""command not found: scrapy"". I guess this is because /usr/bin is where scripts to run programs are stored in Ubuntu. Note that the complete path for my scrapy project is /home/user/project_folder/project_name. I ran the env command in cron and noticed that the working directory is /home/user. Hence I skipped /home/user in my crontab above The cron log can be helpful while debugging grep CRON /var/log/syslog|Another option is to forget using a shell script and chain the two commands together directly in the cronjob. Just make sure the PATH variable is set before the first scrapy cronjob in the crontab list. Run: crontab -e to edit and have a look. I have several scrapy crawlers which run at various times. Some every 5 mins, others twice a day. PATH=/usr/local/bin */5 * * * * user cd /myfolder/crawlers/ && scrapy crawl my_spider_name_1 * 1,13 * * * user cd /myfolder/crawlers/ && scrapy crawl my_spider_name_2 All jobs located after the PATH variable will find scrapy. Here the first one will run every 5 mins and the 2nd twice a day at 1am and 1pm. I found this easier to manage. If you have other binaries to run then you may need to add their locations to the path.|For anyone who used pip3 (or similar) to install scrapy, here is a simple inline solution: */10 * * * * cd ~/project/path && ~/.local/bin/scrapy crawl something >> ~/crawl.log 2>&1 Replace: */10 * * * * with your cron pattern ~/project/path with the path to your scrapy project (where your scrapy.cfg is) something with the spider name (use scrapy list in your project to find out) ~/crawl.log with your log file position (in case you want to have logging)|Check where scrapy is installed using ""which scrapy"" command. In my case, scrapy is installed in /usr/local/bin. Open crontab for editing using crontab -e. PATH=$PATH:/usr/local/bin export PATH */5 * * * * cd /myfolder/path && scrapy crawl spider_name It should work. Scrapy runs every 5 minutes.|does your shell script have execute permission? e.g. can you do /myfolder/crawlers/getdata.sh without the sh? if you can then you can drop the sh in the line in cron|in my case scrapy is in .local/bin/scrapy give the proper path of scraper and name it worK perfect 0 0 * * * cd /home/user/scraper/Folder_of_scriper/ && /home/user/.local/bin/scrapy crawl ""name"" >> /home/user/scrapy.log 2>&1 /home/user/scrapy.log it use to save the output and error in scrapy.log for check it program work or not thank you.","9,3,2,1,0,0",",,where does the path ~/.local/bin/scrapy come from or what is the significance of it? – oldboy Jul 2 '18 at 0:57,,No it writes that permissions is denied – Beka Jun 21 '13 at 12:26,"
scrapyrt not receiving response from scrapy crawler,"I am trying to run scrapy crawler using scrapyrt. I get following response in browser {""status"": ""error"", ""message"": """", ""code"": 500} response: 1 and this one in scrapyrt window I have tried to edit the path of log file but it throws Permission denied error. The crawler runs successfully (as it creates html file) but not receiving json response in curl. $curl = curl_init(); curl_setopt_array($curl, array( CURLOPT_PORT=>'9080', CURLOPT_URL => ""http://localhost/crawl.json?spider_name=dmoz&url=http://www.dmoz.org/Computers/Programming/Languages/Ada/"", CURLOPT_FOLLOWLOCATION => true, CURLOPT_MAXREDIRS => 10, CURLOPT_USERAGENT => $_SERVER['HTTP_USER_AGENT'], CURLOPT_AUTOREFERER => true, CURLOPT_CONNECTTIMEOUT => 120, CURLOPT_TIMEOUT => 120, CURLOPT_POST => false )); $response = curl_exec($curl); $err = curl_error($curl); curl_close($curl); if ($err) { echo ""cURL Error #:"" . $err; } else { echo ""response: "".$response; } If the same crawler is executed from scapy cmd scrapy crawl dmoz -a url=""http://www.dmoz.org/Computers/Programming/Languages/Ada/"" the output is {'description': u'ACM Special Interest Group on Ada: information on SIGAda organization and pointers to current information and resources for the Ada programming language.', 'name': u'SIGAda', 'url': u'http://www.sigada.org/'}",0,,1 Answer 1,"Solved the issue: Updated ""C:\Python27\Lib\site-packages\scrapyrt\log.py"" file with following. Replaced filename = settings.get('LOG_FILE') with this filename = ""C:\\wamp64\\www\\dirbot-master\\logs\\dmoz\\log.log"" dirbot-master is scrapy project. Now I am receiving the response in browser.",1,,,,
Scrapy Crawler has me stumped,"I have a written a few scrapy crawlers. This one has me stumped. I'm scraping a faucet comapany's site. The layout is pretty simple. List page. Thumbnails on the list page take you to detail page. I get a bunch of info to be downloaded for every line item. I'm struggling to get the URL for the next page. I have done is a few times. The issue I'm running into is that my crawler isnt able to find the attribute href on a hyperlink marked by the a tag. It is able to find other attributes like ""data-bind"" but not href which is right there. Looks pretty straight forward & hence frustrating me all the more. In the code below the crawler is printing the amazon list as: [<Selector xpath='//div[@id=""product-list""]//div[@id=""displayedProducts""]//div[@data-bind=""attr: { id: \'prd\' + ModelName().replace(\'-\', \'\'), \'data-sortorder\': SortOrder, \'class\': \'product \' + ModelName().replace(\'-\', \'\') }""]//div[@class=""finishes""]//div[@data-bind=""attr: { \'class\': \'finishSwatch \' + FacetCode() }""]' data=u'<div data-bind=""attr: { \'class\': \'finish'>] and Pages as [] import scrapy from scrapy.spiders import CrawlSpider, Rule from scrapy.linkextractors import LinkExtractor from homedepot.items import LowesItem from homedepot.items import SwatchcolorItem class SattySpider(scrapy.Spider): name = ""satty-pfister"" allowed_domains = [""pfisterfaucets.com""] start_urls = [ ""http://www.pfisterfaucets.com/kitchen/category/kitchen-faucets"" ] rules = ( Rule(LinkExtractor(allow='pfisterfaucets\.com/[A-Z][a-zA-Z_/]+$'), 'parse_category', follow=True, ), ) def parse(self, response): print 'enterrrrrrrrrrrrr' #amazonlist = response.xpath('//ul[@id=""products""]//li[@class=""grid_3 ""]//div//a[@class=""preview_image js_product-link""]') amazonlist = response.xpath('//div[@id=""product-list""]//div[@id=""displayedProducts""]//div[@data-bind=""attr: { id: \'prd\' + ModelName().replace(\'-\', \'\'), \'data-sortorder\': SortOrder, \'class\': \'product \' + ModelName().replace(\'-\', \'\') }""]//div[@class=""finishes""]//div[@data-bind=""attr: { \'class\': \'finishSwatch \' + FacetCode() }""]') print amazonlist pages = amazonlist.xpath('.//a//@href').extract() print 'pages' print pages #imglarges = amazonlist.xpath('.//@srcset').extract() imgs = amazonlist.xpath('.//img//@src').extract() for idx1,page in enumerate(pages): print page url_next = response.urljoin(pages[idx1]) print url_next yield scrapy.Request(url_next,callback=self.parse_productdetail) for next_url in response.xpath('//div[@class=""float-right pagination-pages""]//div//a'): urls= next_url.xpath('.//@href').extract() for idx1,url in enumerate(urls): url_next = response.urljoin(urls[idx1]) print url_next yield scrapy.Request(url_next, callback=self.parse) def parse_productdetail(self, response): tits='blank' #<div class=""tabs-navigation group long""> #//div[contains(@class, ""tabs-navigation"")] for imgs in response.xpath('//div[contains(@class, ""tabs-navigation"")]//ul[@class=""tabs""]//li//img') : imgurl= imgs.xpath('.//@href').extract() name = imgs.xpath('.//@alt').extract() print 'imggggggggggggggggggggggggggggg' print imgurl lowesitem = LowesItem(prod=name, file_urls=[imgurl]) yield lowesitem",1,because there is AJAX items loading / scrapy doesn't execute js ... but anyway it's pretty easy to get them using plain requests (not xpath) - look through XHR requests in your browser network panel,0,,,,,,
How to use Scrapy Crawler with Splash to crawl Javascript pages,"I am having troubles using Scrapy Crawler to crawl javascript websites. It seems like Scrapy ignores Rules and just continues normal scraping. Would it be possible to instruct Spider to use Splash in order to crawl? Thank you. class MySpider(CrawlSpider): name = 'booki' start_urls = [ 'https://worldmap.com/listings/in/united-states/', ] rules = ( # Extract links matching 'category.php' (but not matching 'subsection.php') # and follow links from them (since no callback means follow=True by default). Rule(LinkExtractor(allow=('catalogue\/category', ), deny=('subsection\.php', ))), # Extract links matching 'item.php' and parse them with the spider's method parse_item Rule(LinkExtractor(allow=('catalogue', ),deny=('catalogue\/category')), callback='first_tier'), # ) custom_settings = { #'DOWNLOAD_DELAY' : '2', 'SPLASH_URL': 'http://localhost:8050', 'DOWNLOADER_MIDDLEWARES': { 'scrapy_splash.SplashCookiesMiddleware': 723, 'scrapy_splash.SplashMiddleware': 725, 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware': 810, }, 'SPIDER_MIDDLEWARES': { 'scrapy_splash.SplashDeduplicateArgsMiddleware': 100, }, 'DUPEFILTER_CLASS': 'scrapy_splash.SplashAwareDupeFilter', 'DOWNLOAD_DELAY' : '8', 'ITEM_PIPELINES' : { 'bookstoscrap.pipelines.BookstoscrapPipeline': 300, } } def start_requests(self): for url in self.start_urls: yield SplashRequest(url, self.first_tier, endpoint='render.html', args={'wait': 3.5}, )",0,Thank you again @malberts! Will try it out and keep you posted.,1 Answer 1,"The Rules will only trigger if you actually get to a matching page after the start_requests. You also need to define callback functions for your Rules, otherwise they will try to use the default parse (in case it appears as if your Rules are doing nothing). To change a Rule's request to SplashRequest you have to return it in the process_request callback. For example: class MySpider(CrawlSpider): # ... rules = ( Rule( LinkExtractor(allow=('catalogue\/category', ), deny=('subsection\.php', )), process_request='splash_request' ), Rule( LinkExtractor(allow=('catalogue', ), deny=('catalogue\/category'), callback='first_tier', process_request='splash_request' ), ) # ... def splash_request(self, request): return SplashRequest( request.url, callback=request.callback, endpoint='render.html', args={'wait': 3.5}, )",1,Thank you again @malberts! Will try it out and keep you posted. – Matija Žiberna Feb 19 '19 at 13:29,,,
Scrapy crawler acting weirdly,"I have written a script in python scrapy to parse different categories from craigslist. I noticed some weird things executing the script. It runs flawlessly leaving nothing to complaint. However, the thing is: if I leave items.py blank like below, it doesn't have any effect in the crawling process. My question is what is it doing in my scrapy project then? Thanks in advance. ""Items.py"" file contains: import scrapy class CraigItem(scrapy.Item): pass The spider contains: import scrapy from scrapy import Request class JobsSpider(scrapy.Spider): name = ""category"" allowed_domains = [""craigslist.org""] start_urls = [""https://newyork.craigslist.org/search/egr""] def parse(self, response): jobs = response.xpath('//p[@class=""result-info""]') for job in jobs: relative_url = job.xpath('a/@href').extract_first() absolute_url = response.urljoin(relative_url) title = job.xpath('a/text()').extract_first() address = job.xpath('span[@class=""result-meta""]/span[@class=""result-hood""]/text()').extract_first("""")[2:-1] yield Request(absolute_url, callback=self.parse_page, meta={'URL': absolute_url, 'Title': title, 'Address':address}) relative_next_url = response.xpath('//a[@class=""button next""]/@href').extract_first() absolute_next_url = ""https://newyork.craigslist.org"" + relative_next_url yield Request(absolute_next_url, callback=self.parse) def parse_page(self, response): url = response.meta.get('URL') title = response.meta.get('Title') address = response.meta.get('Address') compensation = response.xpath('//p[@class=""attrgroup""]/span[1]/b/text()').extract_first() employment_type = response.xpath('//p[@class=""attrgroup""]/span[2]/b/text()').extract_first() yield{'URL': url, 'Title': title, 'Address':address, 'Compensation':compensation, 'Employment_Type':employment_type} Again my question is: doesn't items.py file have any supervision in the crawling process? If it is, how?",0,"Thanks Tomáš Linhart, for your answer. In fact, I kicked items.py out from scrapy project and ran again. I found it still working. That means,, it is not being used by Scrapy.",1 Answer 1,"You should read about Scrapy Items first. In short, Scrapy Items are dict-like classes that define items your spider produces. When you yield an item from spider, it has to be either Scrapy Item or a dict (or, a Request object). In your spider, you chose to use the second approach, i.e. yield plain dict. The file items.py is a template produced by scrapy startproject command which defines blank Item class for you to enhance it, if you like. But as you don't use that class in your spider, it's not used by Scrapy.",1,"Thanks Tomáš Linhart, for your answer. In fact, I kicked items.py out from scrapy project and ran again. I found it still working. That means,, it is not being used by Scrapy. – SIM Sep 20 '17 at 13:38",,,
Running Scrapy crawler from a main function,"Ihave wriiten a crawler in scrapy but I would want to initiate the crwaling by using main method import sys, getopt import scrapy from scrapy.spiders import Spider from scrapy.http import Request import re class TutsplusItem(scrapy.Item): title = scrapy.Field() class MySpider(Spider): name = ""tutsplus"" allowed_domains = [""bbc.com""] start_urls = [""http://www.bbc.com/""] def __init__(self, *args): try: opts, args = getopt.getopt(args, ""hi:o:"", [""ifile="", ""ofile=""]) except getopt.GetoptError: print 'test.py -i <inputfile> -o <outputfile>' sys.exit(2) super(MySpider, self).__init__(self,*args) def parse(self, response): links = response.xpath('//a/@href').extract() # We stored already crawled links in this list crawledLinks = [] # Pattern to check proper link # I only want to get the tutorial posts # linkPattern = re.compile(""^\/tutorials\?page=\d+"") for link in links: # If it is a proper link and is not checked yet, yield it to the Spider #if linkPattern.match(link) and not link in crawledLinks: if not link in crawledLinks: link = ""http://www.bbc.com"" + link crawledLinks.append(link) yield Request(link, self.parse) titles = response.xpath('//a[contains(@class, ""media__link"")]/text()').extract() count=0 for title in titles: item = TutsplusItem() item[""title""] = title print(""Title is : %s"" %title) yield item Instead of using scrapy runspider Crawler.py arg1 arg2 I would like to have a seprate class with main function and initiate scrapy from there. How to this?",0,,1 Answer 1,,,,"There are different ways to approach this, but I suggest the following: Have a main.py file on the same directory that will open a new process and launch the spider with the parameters you need. The main.py file would have something like the following: import subprocess scrapy_command = 'scrapy runspider {spider_name} -a param_1=""{param_1}""'.format(spider_name='your_spider', param_1='your_value') process = subprocess.Popen(scrapy_command, shell=True) With this code, you just need to call your main file. python main.py Hope it helps.",0,
Scrapy: How to get processed pipeline items from crawler?,I created a Scrapy Crawler with several pipeline steps. The Crawler is part of a bigger framework which requires the crawler to return a list of the parsed items. In Scrapy I implemented a pipeline containing several normalization steps. As Scrapy is part of the bigger framework - it would be great if I could return the items to the crawler and/or the framework after passed through the whole pipeline. Is there a way to accomplish this? E.g. some pseudo code url = 'http://somewebsite.com' crawler = MyCrawler(url) # each parsed website passes each pipeline step and is yielded / returned. all_items_from_pipeline = crawler.run(),0,Isn't it possible to get a deferred object from the crawler?,1 Answer 1,,,,"You can not do this the functional way, because Scrapy is asynchronous. But you can save the items in a file or database and then the other component can take them from there. You also get the benefit that the items can be stored there until needed.",0,Isn't it possible to get a deferred object from the crawler? – Jon Dec 12 '13 at 9:19
